type,date,year,month,day,amount,link
occasional,2015-04-13,2015,2,7,6,http://discutii.mfinante.ro/static/10/Mfp/extragere_13042015.pdf
occasional,2015-06-28,2015,5,23,135,http://discutii.mfinante.ro/static/10/Mfp/extragere_28062015.pdf
monthly,2015-07-19,2015,6,1,509,http://discutii.mfinante.ro/static/10/Mfp/extragere_19072015.pdf
monthly,2015-08-16,2015,7,23,364,http://discutii.mfinante.ro/static/10/Mfp/Rezultateextragere16august2015.pdf
monthly,2015-09-20,2015,8,5,320,http://discutii.mfinante.ro/static/10/Mfp/Rezultateextragere20august2015.jpg
monthly,2015-10-18,2015,9,16,274,http://discutii.mfinante.ro/static/10/Mfp/Rezultateextragere18octombrie2015.pdf
monthly,2015-11-22,2015,10,11,772,http://discutii.mfinante.ro/static/10/Mfp/Rezultateextragere22nov2015.pdf
monthly,2015-12-20,2015,11,28,538,http://discutii.mfinante.ro/static/10/Mfp/Rezultateextragere20decembrie2015.pdf
occasional,2015-12-27,2015,10,12,766,http://discutii.mfinante.ro/static/10/Mfp/Rezultateextragere27decembrie2015.pdf
monthly,2016-01-17,2015,12,30,142,http://discutii.mfinante.ro/static/10/Mfp/Rezultateextragere17ianuarie2016.pdf
monthly,2016-02-21,2016,1,11,312,http://discutii.mfinante.ro/static/10/Mfp/Procesverbalextragere21februarie2016.pdf
monthly,2016-03-20,2016,2,7,293,http://discutii.mfinante.ro/static/10/Mfp/Rezultatextragere20martie2016.pdf
monthly,2016-04-17,2016,3,18,615,http://discutii.mfinante.ro/static/10/Mfp/Rezultateextragere17aprilie2016.pdf
occasional,2016-05-02,2016,2,24,934,http://discutii.mfinante.ro/static/10/Mfp/Rezultateextragere02mai2016.pdf
monthly,2016-05-22,2016,4,6,238,http://discutii.mfinante.ro/static/10/Mfp/Rezultateextragere22mai2016.pdf
monthly,2016-06-19,2016,5,20,79,http://discutii.mfinante.ro/static/10/Mfp/Rezultateextragere19iunie2016.pdf
monthly,2016-07-17,2016,6,13,678,http://discutii.mfinante.ro/static/10/Mfp/Rezultateextragere17iulie2016.pdf
monthly,2016-08-21,2016,7,16,505,http://discutii.mfinante.ro/static/10/Mfp/Rezultateextragere21august2016.pdf
monthly,2016-09-18,2016,8,18,564,http://discutii.mfinante.ro/static/10/Mfp/Rezultateextragere18sept2016.pdf
monthly,2016-10-16,2016,9,9,440,http://discutii.mfinante.ro/static/10/Mfp/Rezultateextragere16octombrie2016.pdf
monthly,2016-11-20,2016,10,21,168,http://discutii.mfinante.ro/static/10/Mfp/Rezultatextragere20noiembrie2016.pdf
monthly,2016-12-18,2016,11,14,420,http://discutii.mfinante.ro/static/10/Mfp/Rezultatextragere18decembrie2016.pdf
occasional,2016-12-31,2016,4,27,187,http://discutii.mfinante.ro/static/10/Mfp/Rezultatextragere31decembrie2016.pdf
monthly,2017-01-22,2016,12,7,706,http://discutii.mfinante.ro/static/10/Mfp/Rezultatextragere22ianuarie2017.pdf
monthly,2017-02-19,2017,1,2,338,http://discutii.mfinante.ro/static/10/Mfp/Rezultatextragere19februarie2017.pdf
monthly,2017-03-19,2017,2,1,361,http://discutii.mfinante.ro/static/10/Mfp/Rezultatextragere19martie2017.pdf
occasional,2017-04-16,2017,2,15,603,http://discutii.mfinante.ro/static/10/Mfp/Rezultateextragerecazionala16aprilie2017.pdf
monthly,2017-04-16,2017,3,3,935,http://discutii.mfinante.ro/static/10/Mfp/Rezultateextragere16aprilie2017.pdf
monthly,2017-05-21,2017,4,18,144,http://discutii.mfinante.ro/static/10/Mfp/Rezultateextragere21mai2017.pdf
monthly,2017-06-18,2017,5,30,59,http://discutii.mfinante.ro/static/10/Mfp/Rezultateextragere18iunie2017.pdf
