type,date,year,month,day,amount,link
occasional,2015-04-13,2015,2,7,6,http://discutii.mfinante.ro/static/10/Mfp/extragere_13042015.pdf
occasional,2015-06-28,2015,5,23,135,http://discutii.mfinante.ro/static/10/Mfp/extragere_28062015.pdf
monthly,2015-07-19,2015,6,1,509,http://discutii.mfinante.ro/static/10/Mfp/extragere_19072015.pdf
monthly,2015-08-16,2015,7,23,364,http://discutii.mfinante.ro/static/10/Mfp/Rezultateextragere16august2015.pdf
monthly,2015-09-20,2015,8,5,320,http://discutii.mfinante.ro/static/10/Mfp/Rezultateextragere20august2015.jpg
monthly,2015-10-18,2015,9,16,274,http://discutii.mfinante.ro/static/10/Mfp/Rezultateextragere18octombrie2015.pdf
monthly,2015-11-22,2015,10,11,772,http://discutii.mfinante.ro/static/10/Mfp/Rezultateextragere22nov2015.pdf
monthly,2015-12-20,2015,11,28,538,http://discutii.mfinante.ro/static/10/Mfp/Rezultateextragere20decembrie2015.pdf
occasional,2015-12-27,2015,10,12,766,http://discutii.mfinante.ro/static/10/Mfp/Rezultateextragere27decembrie2015.pdf
monthly,2016-01-17,2015,12,30,142,http://discutii.mfinante.ro/static/10/Mfp/Rezultateextragere17ianuarie2016.pdf
monthly,2016-02-21,2016,1,11,312,http://discutii.mfinante.ro/static/10/Mfp/Procesverbalextragere21februarie2016.pdf
monthly,2016-03-20,2016,2,7,293,http://discutii.mfinante.ro/static/10/Mfp/Rezultatextragere20martie2016.pdf
monthly,2016-04-17,2016,3,18,615,http://discutii.mfinante.ro/static/10/Mfp/Rezultateextragere17aprilie2016.pdf
occasional,2016-05-02,2016,2,24,934,http://discutii.mfinante.ro/static/10/Mfp/Rezultateextragere02mai2016.pdf
monthly,2016-05-22,2016,4,6,238,http://discutii.mfinante.ro/static/10/Mfp/Rezultateextragere22mai2016.pdf
monthly,2016-06-19,2016,5,20,79,http://discutii.mfinante.ro/static/10/Mfp/Rezultateextragere19iunie2016.pdf
monthly,2016-07-17,2016,6,13,678,http://discutii.mfinante.ro/static/10/Mfp/Rezultateextragere17iulie2016.pdf
monthly,2016-08-21,2016,7,16,505,http://discutii.mfinante.ro/static/10/Mfp/Rezultateextragere21august2016.pdf
monthly,2016-09-18,2016,8,18,564,http://discutii.mfinante.ro/static/10/Mfp/Rezultateextragere18sept2016.pdf
monthly,2016-10-16,2016,9,9,440,http://discutii.mfinante.ro/static/10/Mfp/Rezultateextragere16octombrie2016.pdf
monthly,2016-11-20,2016,10,21,168,http://discutii.mfinante.ro/static/10/Mfp/Rezultatextragere20noiembrie2016.pdf
monthly,2016-12-18,2016,11,14,420,http://discutii.mfinante.ro/static/10/Mfp/Rezultatextragere18decembrie2016.pdf
occasional,2016-12-31,2016,4,27,187,http://discutii.mfinante.ro/static/10/Mfp/Rezultatextragere31decembrie2016.pdf
monthly,2017-01-22,2016,12,7,706,http://discutii.mfinante.ro/static/10/Mfp/Rezultatextragere22ianuarie2017.pdf
monthly,2017-02-19,2017,1,2,338,http://discutii.mfinante.ro/static/10/Mfp/Rezultatextragere19februarie2017.pdf
monthly,2017-03-19,2017,2,1,361,http://discutii.mfinante.ro/static/10/Mfp/Rezultatextragere19martie2017.pdf
occasional,2017-04-16,2017,2,15,603,http://discutii.mfinante.ro/static/10/Mfp/Rezultateextragerecazionala16aprilie2017.pdf
monthly,2017-04-16,2017,3,3,935,http://discutii.mfinante.ro/static/10/Mfp/Rezultateextragere16aprilie2017.pdf
monthly,2017-05-21,2017,4,18,144,http://discutii.mfinante.ro/static/10/Mfp/Rezultateextragere21mai2017.pdf
monthly,2017-06-18,2017,5,30,59,http://discutii.mfinante.ro/static/10/Mfp/Rezultateextragere18iunie2017.pdf
monthly,2017-07-16,2017,6,26,20,http://discutii.mfinante.ro/static/10/Mfp/Rezultateextragere16iulie2017.pdf
monthly,2017-08-20,2017,7,22,878,http://discutii.mfinante.ro/static/10/Mfp/Rezultateextragere20august2017.pdf
monthly,2017-09-17,2017,8,19,879,http://discutii.mfinante.ro/static/10/Mfp/Rezultateextragere17sept2017.pdf
monthly,2017-10-22,2017,9,15,569,http://discutii.mfinante.ro/static/10/Mfp/Rezultateextragere22octombrie2017.pdf
monthly,2017-11-19,2017,10,27,654,http://discutii.mfinante.ro/static/10/Mfp/Rezultateextragere19noiembrie2017.pdf
monthly,2017-12-17,2017,11,18,821,http://discutii.mfinante.ro/static/10/Mfp/resurse/rezultate-extargere-17122017.pdf
occasional,2017-12-24,2017,11,23,426,http://discutii.mfinante.ro/static/10/Mfp/resurse/loterie/rezultateextragereocazionala_24decembrie2017.pdf
monthly,2018-01-21,2017,12,30,325,http://discutii.mfinante.ro/static/10/Mfp/resurse/Rezultateextragere21ianuarie2018.pdf
monthly,2018-02-18,2018,1,30,501,http://discutii.mfinante.ro/static/10/Mfp/resurse/rezultate-extragere-18-februarie-2018.pdf
monthly,2018-03-18,2018,2,22,969,http://discutii.mfinante.ro/static/10/Mfp/resurse/loteria/rezultate_extragere_18_martie_2018.pdf
occasional,2018-04-08,2018,2,1,303,http://discutii.mfinante.ro/static/10/Mfp/resurse/loterie/rezultate_extragere_8aprilie2018.pdf
monthly,2018-04-22,2018,3,21,38,http://discutii.mfinante.ro/static/10/Mfp/resurse/loterie/Rezultateextragere22aprilie2018.pdf
monthly,2018-05-20,2018,4,15,338,http://discutii.mfinante.ro/static/10/Mfp/resurse/loterie/rezultateextragere20mai2018.pdf
monthly,2018-06-17,2018,5,5,183,http://discutii.mfinante.ro/static/10/Mfp/resurse/loterie/Rezultateextragere17iunie2018.pdf
monthly,2018-07-22,2018,6,17,977,http://discutii.mfinante.ro/static/10/Mfp/resurse/loterie/rezultateextragere22iulie2018.pdf
monthly,2018-08-19,2018,7,23,146,http://discutii.mfinante.ro/static/10/Mfp/resurse/loterie/rezultateextargere19august2018.pdf
monthly,2018-09-16,2018,8,21,60,http://discutii.mfinante.ro/static/10/Mfp/resurse/loterie/rezultateextragere16septembrie2018.pdf
monthly,2018-10-21,2018,9,11,875,http://discutii.mfinante.ro/static/10/Mfp/resurse/loterie/rezultate_extragere_21_octombrie_2018.pdf
monthly,2018-11-18,2018,10,29,504,http://discutii.mfinante.ro/static/10/Mfp/resurse/loterie/rezextragere_18nov2018.pdf
monthly,2018-12-16,2018,11,10,925,http://discutii.mfinante.ro/static/10/Mfp/resurse/loterie/rezextragere_16dec2018.pdf
occasional,2018-12-23,2018,12,3,625,http://discutii.mfinante.ro/static/10/Mfp/resurse/loterie/rezextragereocaz_23dec2018.pdf
monthly,2019-01-20,2018,12,13,905,http://discutii.mfinante.ro/static/10/Mfp/resurse/loterie/rezultateextragere20ianuarie2019.pdf
monthly,2019-02-17,2019,1,19,289,http://discutii.mfinante.ro/static/10/Mfp/resurse/loterie/rezultate_extragere17februarie2019.pdf
monthly,2019-03-17,2019,2,28,147,http://discutii.mfinante.ro/static/10/Mfp/resurse/loterie/rezultate_extragere17martie2019.pdf
monthly,2019-04-21,2019,3,26,346,http://discutii.mfinante.ro/static/10/Mfp/resurse/loterie/rezultate_extragere21aprilie2019.pdf
occasional,2019-04-27,2019,1,29,787,http://discutii.mfinante.ro/static/10/Mfp/resurse/loterie/rezultateextragerespeciala27aprilie2019.pdf
monthly,2019-05-19,2019,4,24,914,http://discutii.mfinante.ro/static/10/Mfp/resurse/loterie/Rezultateextragere_19mai2019.pdf
monthly,2019-06-16,2019,5,2,639,http://discutii.mfinante.ro/static/10/Mfp/resurse/loterie/Rezultateextragere_16iunie2019.PDF
monthly,2019-07-21,2019,6,17,695,http://discutii.mfinante.ro/static/10/Mfp/resurse/loterie/rezultateextragere21iulie.pdf
monthly,2019-08-18,2019,7,,,
monthly,2019-09-22,2019,8,,,
monthly,2019-10-20,2019,9,,,
monthly,2019-11-17,2019,10,,,
monthly,2019-12-22,2019,11,,,
occasional,2019-12-22,2019,,,,
